team,elo,rank
Spain,2251.6146700153267,1
Argentina,2218.3075023675606,2
France,2160.595670828458,3
England,2127.0227848035997,4
Colombia,2093.265876007373,5
Brazil,2090.962117117129,6
Portugal,2088.4707684932782,7
Netherlands,2049.7034440142165,8
Germany,2042.8967353871365,9
Ecuador,2036.576312604029,10
Japan,2027.016067167081,11
Morocco,2026.4594760286645,12
Norway,2013.9032719729983,13
Mexico,2009.7108463612003,14
Croatia,1998.2150778673838,15
Uruguay,1988.912509634822,16
Australia,1981.715353164289,17
Belgium,1980.2688248878123,18
Denmark,1963.4704887423115,19
Italy,1958.3298012586067,20
Switzerland,1957.484333690282,21
United States,1937.0569103568823,22
Turkey,1926.4583053343279,23
Austria,1920.477807633519,24
Senegal,1918.815389522023,25
South Korea,1917.8854434288965,26
Iran,1914.5391380330766,27
Canada,1904.4790893848476,28
Algeria,1901.4794496558075,29
Nigeria,1891.9063053503696,30
Scotland,1891.2975248810164,31
Yugoslavia,1882.7679782107948,32
Russia,1860.4916509515579,33
Panama,1857.3694704661702,34
Paraguay,1856.806689569325,35
Basque Country,1841.5217224860976,36
Greece,1838.1157619117253,37
Ukraine,1836.054268374273,38
Uzbekistan,1835.7192663914013,39
Venezuela,1833.3499585614352,40
Ivory Coast,1832.883842285642,41
Serbia,1831.4381137568357,42
Czechoslovakia,1826.2405007469843,43
Jersey,1819.2518746573646,44
Chile,1815.3383716872552,45
Egypt,1815.1530488990418,46
Czech Republic,1807.9046427043554,47
Sweden,1799.5215036425366,48
Kosovo,1795.8628474235488,49
Poland,1790.4422981058794,50
Jordan,1786.682202230518,51
Peru,1784.2502019791125,52
Hungary,1779.9876741267217,53
Republic of Ireland,1779.4144817388146,54
Wales,1770.4771927891327,55
Guernsey,1764.5988929995037,56
DR Congo,1763.7008111378157,57
Occitania,1755.2452424516132,58
Tunisia,1752.4745515790794,59
Costa Rica,1750.7245537959654,60
Slovenia,1748.7940316829263,61
Northern Cyprus,1747.997817712862,62
Georgia,1745.629787974411,63
Iraqi Kurdistan,1743.4301846990309,64
Slovakia,1743.4130187134804,65
German DR,1741.3579850307697,66
Cameroon,1734.5332029498734,67
Iraq,1733.925034135289,68
New Zealand,1732.7374308714138,69
Padania,1730.9063703177305,70
Isle of Man,1724.577551796988,71
Romania,1721.8423358868808,72
Honduras,1720.4712297622775,73
Mali,1718.0947237853197,74
Bolivia,1716.8279478155707,75
Israel,1709.346191992885,76
Saudi Arabia,1703.3928526122386,77
Catalonia,1699.7540449126388,78
Albania,1694.6949284072084,79
